address,zipcode,price,sqft,bedroom,bathroom,latitude,longitude,Property Type
"115 Dahlgren Pl #3D, Brooklyn, NY 11228",11228,635000,766,2,1.0,40.61678,-74.024765,condo
"185 Bay 11 St, Brooklyn, NY 11228",11228,1250000,1933,6,2.0,40.60665,-74.01173,multi-family
"185 Bay 11th St, Brooklyn, NY 11228",11228,1250000,2000,6,2.0,40.60665,-74.01173,multi-family
"35 Bay 8 St, Brooklyn, NY 11228",11228,1448000,2160,5,3.0,40.611,-74.01079,multi-family
"35 Bay 8th St, Brooklyn, NY 11228",11228,1448000,2160,5,3.0,40.611,-74.01078,multi-family
"123 Bay 10 St, Brooklyn, NY 11228",11228,2300000,2248,9,6.0,40.608307,-74.01117,multi-family
"24 Cooper Street UNIT B, New York, NY 10034",10034,195000,615,1,1.0,40.867687,-73.92461,coop
"72 Park Ter W  #E35, New York, NY 10034",10034,389900,700,1,1.0,40.871296,-73.9169,coop
"581 Academy St #3E, New York, NY 10034",10034,650000,834,2,1.0,40.86386,-73.92307,condo
"70 Park Ter W  #E34, New York, NY 10034",10034,389500,700,1,1.0,40.871246,-73.91693,coop
"687 W  204th St #6F, New York, NY 10034",10034,549000,955,2,1.0,40.868053,-73.92359,coop
"579 W  215th St #5A, New York, NY 10034",10034,370000,775,1,1.0,40.871883,-73.91884,coop
"579 W  215th St #5-C, New York, NY 10034",10034,310000,513,0,1.0,40.871883,-73.91884,coop
"60 Park Ter W  #A83, New York, NY 10034",10034,869000,1100,2,2.0,40.87097,-73.9174,coop
"675 Academy St #1K, New York, NY 10034",10034,365000,750,1,1.0,40.866997,-73.92507,coop
"585 W  214th St #4C, New York, NY 10034",10034,569000,925,2,1.0,40.871834,-73.91952,coop
"90 Park Ter E  #5F, New York, NY 10034",10034,475000,900,2,1.0,40.87089,-73.91554,coop
"60 Cooper St #1B, New York, NY 10034",10034,389000,850,1,1.0,40.8683,-73.922905,coop
"91 Payson Ave #5JK, New York, NY 10034",10034,1650000,2065,4,2.0,40.86787,-73.92648,coop
